文件,用途
chart_01_midterm_requirement_checklist.csv,中期要求对照表
chart_02_event_study_caar.csv,事件研究CAAR柱状图/热力表
chart_03_backtest_kpi.csv,回测绩效总览KPI
chart_04_backtest_trade_detail.csv,分标的交易明细表
chart_05_backtest_event_contribution.csv,分事件收益贡献图
chart_06_walk_forward_kpi.csv,走步验证KPI
chart_07_walk_forward_trade_detail.csv,走步验证交易表
chart_08_stop_loss_diagnostic.csv,止损触发原因诊断
chart_09_strategy_risk_comparison.csv,固定日历压力测试与当前系统对比
chart_10_hyperparameter_top10.csv,超参数Top10
chart_11_hyperparameter_sensitivity.csv,超参数敏感性汇总
chart_12_factor_weights.csv,因子权重图
chart_13_paper_orders.csv,模拟盘订单表
chart_14_paper_scores_factor_contribution.csv,模拟盘评分贡献拆解
chart_15_paper_order_summary.csv,模拟盘配置总览
chart_16_validation_metrics.csv,LLM/Agent证据闭环校验结果
chart_17_market_constraints.csv,市场约束与成本假设
